'[18:30:00 04/09/2008]',78
'[18:31:00 04/09/2008]',79.4
'[18:32:00 04/09/2008]',72.7
'[18:33:00 04/09/2008]',68.5
'[18:34:00 04/09/2008]',65.5
'[18:35:00 04/09/2008]',62.8
'[18:36:00 04/09/2008]',61.1
'[18:37:00 04/09/2008]',59.6
'[18:38:00 04/09/2008]',58.5
'[18:39:00 04/09/2008]',58.6
'[18:40:00 04/09/2008]',62.5
'[18:41:00 04/09/2008]',64.7
'[18:42:00 04/09/2008]',67.6
'[18:43:00 04/09/2008]',68.2
'[18:44:00 04/09/2008]',68.5
'[18:45:00 04/09/2008]',69.4
'[18:46:00 04/09/2008]',67
'[18:47:00 04/09/2008]',65.8
'[18:48:00 04/09/2008]',65.8
'[18:49:00 04/09/2008]',65.7
'[18:50:00 04/09/2008]',62.5
'[18:51:00 04/09/2008]',61.4
'[18:52:00 04/09/2008]',63.7
'[18:53:00 04/09/2008]',61.1
'[18:54:00 04/09/2008]',60.3
'[18:55:00 04/09/2008]',58.6
'[18:56:00 04/09/2008]',57.6
'[18:57:00 04/09/2008]',56.7
'[18:58:00 04/09/2008]',56.6
'[18:59:00 04/09/2008]',56.4
'[19:00:00 04/09/2008]',57.4
'[19:01:00 04/09/2008]',57.3
'[19:02:00 04/09/2008]',57.1
'[19:03:00 04/09/2008]',56.9
'[19:04:00 04/09/2008]',57.4
'[19:05:00 04/09/2008]',57.8
'[19:06:00 04/09/2008]',59.1
'[19:07:00 04/09/2008]',59.4
'[19:08:00 04/09/2008]',59.3
'[19:09:00 04/09/2008]',58.5
'[19:10:00 04/09/2008]',57.7
'[19:11:00 04/09/2008]',58.6
'[19:12:00 04/09/2008]',57.9
'[19:13:00 04/09/2008]',57.5
'[19:14:00 04/09/2008]',57.2
'[19:15:00 04/09/2008]',58
'[19:16:00 04/09/2008]',58
'[19:17:00 04/09/2008]',58.1
'[19:18:00 04/09/2008]',58.1
'[19:19:00 04/09/2008]',59
'[19:20:00 04/09/2008]',58.6
'[19:21:00 04/09/2008]',58.9
'[19:22:00 04/09/2008]',58.5
'[19:23:00 04/09/2008]',58.2
'[19:24:00 04/09/2008]',58
'[19:25:00 04/09/2008]',58.8
'[19:26:00 04/09/2008]',58.4
'[19:27:00 04/09/2008]',57.9
'[19:28:00 04/09/2008]',57.3
'[19:29:00 04/09/2008]',57.4
